ino	no	title	artist	bpm	slow	nov	adv	exh	mxm	unov	uadv	uexh	umxm	from	at	etc
0061	0025	Air	SHIKI	178		06	13	16	18					BMS	VI 01	[로케테]
0068	0135	All for One	CANVAS feat. Quimär	185		06	13	16	18	hexa	hexa	hexa	hexa	FLOOR 오리지널	VI 31	HEXA DIVER
0069	0256	All We Need is HAPPY END!!!	polysha	260		07	14	17	19	blas	blas	blas	blas	FLOOR 오리지널	VI 59	[1W]
0070	0396	Allegro Saetta	天束 vs. siromaru	182		07	14	17	19	lim	lim	lim	lim	FLOOR 오리지널	VI 94	
0071	0431	Almandite	7mai	207		06	13	16	18				pcb	FLOOR 오리지널	VI 100	
0074	0331	Amazing Mirage	lapix	153		05	12	15	18	pcb	pcb	pcb	pcb	beatmania IIDX 오리지널	VI 77	
0075	0502	Ambivalent Vermilia	 "二代目朱雀 feat.朱雀"	185		07	14	17	19	lim	lim	lim	lim		BEMANI PRO LEAGUE -SEASON 3- Triple Tribe	[V]
0077	0337	and After the Merry BADEND	polysha	192	64	7	14	17	19	hexa	hexa	hexa	hexa	SDVX 오리지널	VI 78	HEXA DIVER
0088	0406	Appliqué(Vocal Remix)	nonomori feat. Nanao	224		06	12	15	18				pcb	FLOOR 리믹스	VI 95	
0089	0322	APØCALYPSE RAY	xi	212		08	15	18	20	hexa	hexa	hexa	hexa	SDVX 오리지널	VI 75	HEXA DIVER
0090	0067	Aqua,Luna-rium	凛々咲	128		03	10	13	16				pcb	FLOOR 오리지널	VI 10	
0091	0484	ARACHNE	MAX MAXIMIZER	179		06	13	16	18	lim	lim	lim	lim		리플렉 비트 악곡 스탬프 이벤트	
0095	0102	Archangelio	Juggernaut.	300		06	13	16	18				pcb	FLOOR 오리지널	VI 22	
0097	0395	ARISE	Juggernaut.	256		07	14	17	19	lim	lim	lim	lim	FLOOR 오리지널	VI 94	
0099	0384	Ars Magna	Riz	269		06	13	16	18	blas	blas	blas	blas	FLOOR 오리지널	VI 91	[1W]
0100	0197	ASGORE / アズゴア	Toby Fox	114		04	12	15	17					언더테일 콜라보레이션	VI 40	
0106	0193	Avalanx	隣の庭は青い(庭師+Aoi)	185		07	14	17	19	hexa	hexa	hexa	hexa	SDVX 오리지널	VI 38	HEXA DIVER
0108	0491	Awakening Wings	伊達朱里紗	190		04	12	14	17						eMAH-JONG 마작 파이트 클럽 PRO TOURNAMENT	
0111	0138	AμreoLe ~for Triumph~	Ashrount	321		07	14	17	19	hexa	hexa	hexa	hexa	FLOOR 오리지널	VI 31	HEXA DIVER
0117	0027	Bad Elixir	xi	203		07	13	16	19					BMS	VI 01	[로케테]
0123	0217	Battle Against a True Hero / 本物のヒーローとの闘い	Toby Fox	150		05	12	15	18					언더테일 콜라보레이션	VI 44	
0124	0079	BAYONEX	かめりあ as "Revenge of Riot"	262		07	14	17	19	kona	kona	kona	kona	사운드 볼텍스 III 그래비티 워즈 코나스테 오리지널[그레이스의_도전장]	VI 13	[코나스테]
0127	0084	BEAT MAGIC	ランコ feat. Eurobeat Union	164		03	10	13	16				pcb	동방 프로젝트	VI 15	원곡: 始原のビート　～ Pristine Beat
0134	0403	BEMANI PRO LEAGUE -SEASON 2-SOUND VOLTEX ULTIMATE MEDLEY	FLOOR LEGENDS -BPL S2 SDVX-	215		06	13	16	19	lim	lim	lim	lim	FLOOR 스페셜	VI 94	
0135	0164	Berry Go!!	Freezer feat.妃苺	175		05	12	15	17					BMS	VI 33	
0138	0098	Bigbang Faker	BlackY	155		06	13	16	18				pcb	FLOOR 오리지널	VI 19	
0140	0311	birth	Yu_Asahina	220	200	06	13	16	18	pcb	pcb	pcb	pcb	MÚSECA 오리지널	VI 72	
0147	0277	Black or Red?	コスモドライバー join. shully & Nimo	157		05	12	15	17	pcb	pcb	pcb	pcb	REFLEC BEAT 오리지널	VI 64	
0154	0319	BLISS	ミハイル + K.key	210	190	05	13	16	18	hexa	hexa	hexa	hexa	SDVX 오리지널	VI 75	HEXA DIVER
0157	0288	Blossom	Synthion	175		05	12	16	18				pcb	동인 음악	VI 65	
0160	0050	Blue Forest(NightBounce Remix)	kanone	132		04	10	14	17				pcb	FLOOR 리믹스	VI 05	
0164	0506	Blφφdy Cφncertφ	OSTER project & RoughSketch	210		06	13	16	18	lim	lim	lim	lim		MYSTICAL Re:UNION	
0165	0194	Bl∞min'	MisoilePunch♪ -Forever-	234	117	08	15	18	20	hexa	hexa	hexa	hexa	SDVX 오리지널	VI 38	HEXA DIVER
0167	0201	Bonetrousle	Toby Fox	150		02	10	13	16					언더테일 콜라보레이션	VI 40	
0172	0269	Brave Power Leader 《 = Voltage = 》	概念	205		06	13	16	18	blas	blas	blas	blas	FLOOR 오리지널	VI 63	
0173	0381	Break Through Δpex	Halv feat.Kuroa*	210	190	06	13	16	18	blas	blas	blas	blas	FLOOR 오리지널	VI 90	[1W]
0176	0320	Breakneck Pursuit	Ashrount	210		07	14	17	19	hexa	hexa	hexa	hexa	SDVX 오리지널	VI 75	HEXA DIVER
0181	0356	Burst Λnd reBoost	めと（Metomate)	232	203	07	14	17	19	hexa	hexa	hexa	hexa	FLOOR 오리지널	VI 82	HEXA DIVER이전에 출시된 챕터들을 전부 해금해야 오픈됨. 난이도 무관.
0185	0167	c2Theater	yaseta + Hidra-Xjeil	190		06	12	15	18	pcb	pcb	pcb	pcb	MÚSECA 오리지널	VI 34	
0186	0296	CadenzaMaiden	u-z feat.紫咲ほたる	290	145	05	12	16	18				pcb	FLOOR 오리지널	VI 67	
	0511	Caldwell 99	BlackY	142		06	13	16	18					BEMANI 오리지널	MYSTICAL Re:UNION	
0191	0063	Cappuccino Hearts	nora2r	260		03	13	16	18				pcb	FLOOR 오리지널	VI 09	
0200	0073	Chakra	uma	165		04	11	14	17				pcb	FLOOR 오리지널	VI 11	
0203	0081	charm♡you	U-ske feat. 花柚	147		04	11	15	17				pcb	FLOOR 오리지널	VI 14	
0204	0236	Chat perché	Ange;art + Nota	210		06	13	16	18	blas	blas	blas	blas	FLOOR 오리지널	VI 49	[1W]
0206	0456	Chewingood!!!	TORIENA	190		05	12	15	17	pcb	pcb	pcb	pcb		X-record (크로스 레코드)	[V]
0210	0281	Chocolate Planet (いるちょこRemix)	irucaice feat. ちょこ	185		05	12	15	17				pcb	FLOOR 리믹스	VI 65	
0212	0369	CHOVERY GOOSE!!!	MYUKKE.	180		05	12	15	18	blas	blas	blas	blas	FLOOR 오리지널	VI 87	[1W]
0214	0028	Chronomia	Lime	227		07	14	17	19					BMS	VI 01	
0215	0361	Circuit Surfer	kors k	230		07	14	17	19				pcb	동인 음악	VI 84	
0221	0479	CLAMARE	MAX MAXIMIZER	224		07	14	17	19	pcb	pcb	pcb	pcb		리플렉 비트 악곡 스탬프 이벤트	
0235	0397	Colorful Magical Parade	Tsubusare BOZZ feat. madoka*	160		05	12	15	17	lim	lim	lim	lim	FLOOR 오리지널	VI 94	
0238	0503	Come to Life	ARM (IOSYS) feat. Nicole Curry	180		06	13	16	18	lim	lim	lim	lim		BEMANI PRO LEAGUE -SEASON 4- Triple Tribe	[V]
0244	0072	Continuous Moment	影虎。	154		05	12	15	17				pcb	FLOOR 오리지널	VI 11	
0245	0170	Corrupting Wonderland	u-z feat.CHERICa	250		06	12	15	18				pcb	FLOOR 오리지널	VI 35	
0246	0505	COSMIC V3LOCITY	 "Coyaan & KE!JU & ZAQUVA"	200		07	14	17	19	lim	lim	lim	lim		BEMANI PRO LEAGUE -SEASON 4- Triple Tribe	[V]
0249	0389	Crawl Out Immortal	U-ske feat.Parfaitty	192		05	12	15	18	blas	blas	blas	blas	FLOOR 오리지널	VI 92	[1W]
0251	0482	Crazy Jackpot	Hommarju	170		05	12	15	18	lim	lim	lim	lim		리플렉 비트 악곡 스탬프 이벤트	
0260	0478	Crystalia	DJ TOTTO	270		06	13	16	18	pcb	pcb	pcb	pcb		리플렉 비트 악곡 스탬프 이벤트	
0263	0268	CUDDLIE CUDDLIE	ゆんゆん	187		05	12	15	17	blas	blas	blas	blas	FLOOR 오리지널	VI 63	
0266	0391	Cuz we <3 this Game	打打だいず	333	276	07	14	17	19	sp	sp	sp	sp	FLOOR 오리지널	VI 93	
0269	0298	D.I.X.	日夜すずり feat. 凜々	1080	70	06	13	16	18				pcb	FLOOR 오리지널	VI 69	
0276	0165	DATAERR0R	Cosmograph	180		06	13	16	18					BMS	VI 33	
0278	0325	Dawn of Asia(Alkome Remix)	Alkome	188		05	12	15	17				pcb	FLOOR 리믹스	VI 76	
0284	0199	Death by Glamour / 華麗なる死闘	Toby Fox	148		04	12	15	17					언더테일 콜라보레이션	VI 40	
0285	0155	Decadence Mission	Jerico	175		06	13	16	18				pcb	FLOOR 오리지널	VI 33	
0289	0501	Deep tenDon Reflex	 "Coyaan"	180		06	13	16	18	lim	lim	lim	lim		BEMANI PRO LEAGUE -SEASON 3- Triple Tribe	[V]
0293	0326	Demetel (Erixa ”MYTH” Remix)	Erixa	150		05	11	14	17				pcb	FLOOR 리믹스	VI 76	
0297	0078	Destined Marionette	ビートまりお(COOL&CREATE)	186	93	06	12	16	18					BMS	VI 13	
0299	0026	Destr0yer	削除 feat. Nikki Simons	90		05	12	14	18					BMS	VI 01	[로케테]
0302	0255	DEUX EX MĀXHINĀ	Ashrount	257		07	14	17	19	blas	blas	blas	blas	FLOOR 오리지널	VI 58	[1W]
0306	0380	Di-Da-De-Doo	Yu_Asahina ft.Mizutama	144		05	13	15	18	blas	blas	blas	blas	FLOOR 오리지널	VI 90	[1W]
0319	0283	Distorted Floor -Boosted-	M-UE vs. siromaru	166		06	13	16	18				pcb	FLOOR 리믹스	VI 65	
0324	0451	Don't you dare play GOD	technoplanet feat. Tamako Kinoshita	500	240	08	15	18	20	hexa	hexa	hexa	hexa	FLOOR 오리지널	VI 104	HEXA DIVERCODE:DimiourGEAR 까지의 챕터들과는 별개의 챕터이며, 폴더도 나누어져 있다.
0327	0366	Double or Nothing	Tatsunoshin	175		06	13	16	18	blas	blas	blas	blas	FLOOR 오리지널	VI 86	[1W]
0354	0330	Element of SPADA	猫叉Master feat.霜月はるか	170		05	11	14	17	pcb	pcb	pcb	pcb	beatmania IIDX 오리지널	VI 77	
0357	0051	Elemental Creation -xiRemix-	xi	242	121	06	13	16	18				pcb	FLOOR 리믹스	VI 05	
0358	0008	EMERALDAS (Yuta Imai Remix)	Yuta Imai	190		06	13	16	18				pcb	FLOOR 리믹스	VI 01	
0363	0086	Empty Backdoor	森羅万象	169		04	11	14	17				pcb	동방 프로젝트	VI 15	원곡: 秘神マターラ　～ Hidden Star in All Seasons.
0366	0137	EncorE & cALL	CHUBAY	240		07	14	17	19	hexa	hexa	hexa	hexa	FLOOR 오리지널	VI 31	HEXA DIVER
0367	0080	End of Guilty	kanone	290		06	12	16	18				pcb	FLOOR 오리지널	VI 14	
0369	0237	ENDGAME	Yuta Imai	222		06	13	16	18	blas	blas	blas	blas	FLOOR 오리지널	VI 50	[1W]
0372	0287	ENERGY SYNERGY MATRIX	Tanchiky	160		05	12	16	18				pcb	BMS	VI 65	
0378	0058	Enter The Fire	Yooh	140		04	11	14	17				pcb	FLOOR 오리지널	VI 07	
0379	0333	Enter The Rave	Tatsunoshin	160		5	13	16	18	hexa	hexa	hexa	hexa	SDVX 오리지널	VI 78	HEXA DIVER
0380	0425	Entropic EnĤαncemEnt	CHUBAY	254		07	14	17	19	tama	tama	tama	tama	FLOOR 오리지널	VI 99	TAMA네코 어드벤처
0391	0394	Ex concordia felicitas	Connexio	205		05	12	15	18	lim	lim	lim	lim	FLOOR 오리지널	VI 94	
0392	0112	eXtridia	unatra×Nego_tiator	136		05	13	15	17	pcb	pcb	pcb	pcb	MÚSECA 오리지널	VI 25	
0400	0224	fantastic dreamer／アニメ「この素晴らしい世界に祝福を！」より	Machico	185		02	10	14	17					POPS&아니메	VI 45	
0402	0157	FAR GONE	493Water	160		06	13	16	18				pcb	FLOOR 오리지널	VI 33	
0403	0059	FEEL THE FORCE	brz1128	210		06	13	16	18				pcb	FLOOR 오리지널	VI 07	
0404	0459	Fegrix	Xceon vs DJ Command (Eurobeat Union)	175		06	13	16	18	pcb	pcb	pcb	pcb		X-record (크로스 레코드)	[V]
0409	0200	Finale / フィナーレ	Toby Fox	190		05	13	16	18					언더테일 콜라보레이션	VI 40	
0420	0248	Fl0ating:	yuichi NAGAO	206		06	12	15	18	blas	blas	blas	blas	FLOOR 오리지널	VI 54	[1W]
0422	0475	Flip Flap	kors k	175		04	11	14	17	pcb	pcb	pcb	pcb		리플렉 비트 악곡 스탬프 이벤트	
0435	0329	Follow Tomorrow	HHH×MM×ST	140		04	10	14	17	pcb	pcb	pcb	pcb	beatmania IIDX 오리지널	VI 77	
0437	0128	Foolish Again	lapix	160		05	12	15	17	pcb	pcb	pcb	pcb	SDVX 오리지널	VI 29	
0440	0295	For.*tune	Capchii × low meow × Uzumaki	205		05	11	14	17				pcb	FLOOR 오리지널	VI 67	
0442	0441	Four Leaves (Whitelily. remix)	Whitelily.(みーに&しろさきあや)	191		04	11	14	17				pcb	FLOOR 리믹스	VI 103	
0448	0278	FUJIMORI -祭- FESTIVAL	VENUS	158		03	11	14	17	pcb	pcb	pcb	pcb	REFLEC BEAT 오리지널	VI 64	
0449	0039	Fun walk!!	Enterskip	170		05	11	15	17				pcb	FLOOR 오리지널	VI 02	
0453	0208	Fαtα∠ Ent∠mEnt	CHUBAY	254		07	14	17	19	hexa	hexa	hexa	hexa	SDVX 오리지널	VI 42	HEXA DIVER
0454	0070	G4ME ØVEЯ	Takenoko boy feat. metyao	201		06	13	16	18				pcb	FLOOR 오리지널	VI 10	
0463	0272	Garland	ミハイル + K.key	217		06	12	15	18	blas	blas	blas	blas	FLOOR 오리지널	VI 63	
0465	0405	Gate of Atlantis (Vocal ∞ Mix)	MasKaleido feat. ぁゅ	240	8	05	12	15	17				pcb	FLOOR 리믹스	VI 95	
0473	0346	GEROL (Yooh Remix)	Yooh	145		05	12	15	17				pcb	FLOOR 리믹스	VI 80	
0482	0442	GIGI BABA(brz_style)	brz1128	180		05	12	15	18				pcb	FLOOR 리믹스	VI 103	
0486	0257	Glory of Fighters	RoughSkreamZ	240	90	07	14	17	19	blas	blas	blas	blas	FLOOR 오리지널	VI 60	[1W]
0490	0103	Going My Future!	#EmoCosine	183		06	13	16	18				pcb	FLOOR 오리지널	VI 22	
0493	0163	GOODTEK	EBIMAYO	190		06	12	15	18					BMS	VI 33	
0498	0239	graduation	星野音楽工房	170		06	13	16	18	lim	lim	lim	lim	SDVX 오리지널	VI 51	[V]
0501	0190	Grandeur	CANVAS x RoughSketch feat. Quimär	190		06	13	16	18	hexa	hexa	hexa	hexa	SDVX 오리지널	VI 38	HEXA DIVER
0504	0444	Growing Up／アニメ「この素晴らしい世界に祝福を！3」より	Machico	190		03	10	14	17					POPS&아니메	VI 103	
0510	0117	Halloween Is Chaos	RoughSketch feat.北小路ヒスイ	197		05	11	15	18				pcb		VI 26	
0511	0265	HALO	Tatsunoshin	210		07	14	17	19	blas	blas	blas	blas	FLOOR 오리지널	VI 63	
0512	0343	Happiness World	BABACORN(宝鐘マリン/白上フブキ)	150		03	10	13	16					시라카미 후부키 콜라보레이션	VI 79	
0520	0215	Heartache / 心の痛み	Toby Fox	119		01	10	13	16					언더테일 콜라보레이션	VI 44	
0521	0412	HEAVEN KNOWS	U-ske feat.石橋桃	275		06	12	15	18				pcb	FLOOR 오리지널	VI 97	
0524	0339	HeaveИ's Rain	モリモリあつし	285		8	15	18	20	hexa	hexa	hexa	hexa	SDVX 오리지널	VI 78	HEXA DIVER
0527	0285	Hello, Hologram	HIMEHINA	181		04	12	15	18					HIMEHINA 콜라보레이션	VI 65	
0533	0158	Heroine is here	クルトン feat.ケィニ	210		04	11	14	16				pcb	FLOOR 오리지널	VI 33	
0539	0156	Holy Trail	satie	200		07	13	16	19				pcb	FLOOR 오리지널	VI 33	
0541	0428	Hopscotch	GrivR.	175		05	12	15	17				pcb	FLOOR 오리지널	VI 100	
0547	0231	Hydroblast	Aoi vs. siromaru	160		06	12	15	18				pcb	FLOOR 오리지널	VI 47	
0553	0092	I Left for my Right	あの日字数制限に負けて追い出された「ゃ」	155		05	12	15	17				pcb	FLOOR 오리지널	VI 16	
0558	0241	Ice Fortress	荒谷サトル	185		06	12	15	18	blas	blas	blas	blas	FLOOR 오리지널	VI 51	[1W]
0566	0447	Imitated Visions	荒谷サトル	150		06	13	16	18	hexa	hexa	hexa	hexa	FLOOR 오리지널	VI 104	HEXA DIVERCODE:DimiourGEAR 까지의 챕터들과는 별개의 챕터이며, 폴더도 나누어져 있다.
0568	0220	Imperator	Xe (αirlemoneX)	215		06	13	16	18				pcb	FLOOR 오리지널	VI 45	
0570	0052	Impress(siqlo's Hi-Tech Veats)	siqlo	160		05	11	14	17				pcb	FLOOR 리믹스	VI 05	
0574	0383	Inevitable Magic	Alkome	170		06	13	16	18	blas	blas	blas	blas	FLOOR 오리지널	VI 91	[1W]
0578	0243	Initiating League	EmoCosine vs. nora2r	200		06	13	16	18	blas	blas	blas	blas	FLOOR 오리지널	VI 52	[1W]
0581	0032	Innocent Azure	kuro	203		06	13	16	18				pcb	FLOOR 오리지널	VI 02	
0597	0453	I’m Your Treasure Box＊あなたは マリンせんちょうを たからばこからみつけた。	宝鐘マリン	120	75	03	10	14	17					호쇼 마린 콜라보레이션	VI 105	
0598	0450	JACK -the KING Ki11ing-	打打だいず vs. siromaru	311		07	14	17	19	hexa	hexa	hexa	hexa	FLOOR 오리지널	VI 104	HEXA DIVERCODE:DimiourGEAR 까지의 챕터들과는 별개의 챕터이며, 폴더도 나누어져 있다.
0601	0085	Jailbreaker	Hommarju feat. かぼちゃ	180		05	12	15	17				pcb	동방 프로젝트	VI 15	원곡: U.N.オーエンは彼女なのか？
0615	0300	Juωpscare!!	coTatsu	128	90	06	12	15	18				pcb	FLOOR 오리지널	VI 69	
0620	0328	KAMAITACHI	DJ TECHNORCH fw. GUHROOVY	165		06	13	16	18	pcb	pcb	pcb	pcb	beatmania IIDX 오리지널	VI 77	
0627	0415	King's Gambit	brz1128	195		06	13	16	18				pcb	FLOOR 오리지널	VI 97	
0628	0342	KINGWORLD	白上フブキ	240		05	12	15	18					시라카미 후부키 콜라보레이션	VI 79	
0630	0393	Knew Order	あまみ×ひなみ	195		04	13	16	18	lim	lim	lim	lim	FLOOR 오리지널	VI 94	
0632	0182	Kontrol Line	Yooh	180	140	06	13	16	18	lim	lim	lim	lim	SDVX 오리지널	VI 37	[V]
0635	0375	La Nostra Storia!	polysha w/ mikanzil	246		06	13	16	18	blas	blas	blas	blas	FLOOR 오리지널	VI 89	[1W]
0644	0192	LaμreLs ~the Angelus~	Ashrount	321		07	14	17	19	hexa	hexa	hexa	hexa	SDVX 오리지널	VI 38	HEXA DIVER
0647	0040	Le Merle Noir	Rigel Theatre	136	92	03	09	14	16				pcb	FLOOR 오리지널	VI 03	
0661	0508	Lichtsäule	かめりあ &  "PHQUASE"	215		07	14	17	19	lim	lim	lim	lim		MYSTICAL Re:UNION	
0665	0469	LIKE A VAMPIRE	koyomi,星野奏子 by  "TAKA"	276		05	12	15	17	pcb	pcb	pcb	pcb		BEMANI 2021 한여름의 가합전 5번승부	
0680	0290	Lost Emotion feat. nomico	Alstroemeria Records	172		03	11	14	17					동방 프로젝트	VI 66	원곡: 亡失のエモーション
0681	0206	Lost Parliament	Juggernaut.	200		06	13	16	18	hexa	hexa	hexa	hexa	SDVX 오리지널	VI 42	HEXA DIVER
0684	0100	Love Love Scarlet	イノライfeat.怜花	185		04	11	14	17				pcb	동방 프로젝트	VI 20	원곡: U.N.オーエンは彼女なのか？恋色マスタースパーク
0685	0382	LOVE TONIC	影虎。	165		05	12	15	18	blas	blas	blas	blas	FLOOR 오리지널	VI 91	[1W]
0687	0347	Lovesick Lovetune(brz_style)	brz1128 feat.しろさきあや	170		04	11	14	17				pcb	FLOOR 리믹스	VI 80	
0692	0107	LUCKY CAT	ちょこふぁん	167		03	11	14	17					동방 프로젝트	VI 23	원곡: 大吉キトゥン
0697	0060	M-O-R-F-I-N-E	u-z feat.紫咲ほたる	220		05	12	15	17				pcb	FLOOR 오리지널	VI 07	
0701	0053	Macuilxochitl (Latin Jazz Mix)	technoplanet	156		06	13	16	18				pcb	FLOOR 리믹스	VI 05	
0708	0317	Marielle	ゆんゆん	234		06	13	16	18	hexa	hexa	hexa	hexa	SDVX 오리지널	VI 75	HEXA DIVER
0711	0407	Max Burning!!(GαineN Beyond yΩu Remix)	概念	200		06	13	16	18				pcb	FLOOR 리믹스	VI 95	
0715	0467	MA・TSU・RI	かなたん,アマギセーラ,ぁゅ by  "藤森崇多"	160		04	10	14	17	pcb	pcb	pcb	pcb		BEMANI 2021 한여름의 가합전 5번승부	
0717	0218	MEGALOVANIA	Toby Fox	240		03	13	16	18					언더테일 콜라보레이션	VI 44	
0721	0151	Memory Flow	兎波かなで feat.とうな	206		06	13	15	18				pcb	FLOOR 오리지널	VI 33	
0724	0044	Metagame Matador	RoughSketch vs MAD CHILD	160		06	13	16	18				pcb	FLOOR 오리지널	VI 03	
0732	0253	MILITARY R04D	Enterskip	272		07	14	17	19	blas	blas	blas	blas	FLOOR 오리지널	VI 57	[1W]
0741	0147	MixxioN	MisoilePunch♪	275		08	15	18	20	hexa	hexa	hexa	hexa	FLOOR 오리지널	VI 32	HEXA DIVER
0750	0468	MOVE! (We Keep It Movin')	Jonny Dynamite!,Lisa - paint with stars -,Rio Hiiragi by  “U1-ASAMi”	142		04	10	14	17	pcb	pcb	pcb	pcb		BEMANI 2021 한여름의 가합전 5번승부	
0752	0110	Mr.VIRTUALIZER	HIMEHINA	130		03	08	13	16					HIMEHINA 콜라보레이션	VI 24	
0753	0240	MURASAME	Hommarju	140		06	11	16	18	blas	blas	blas	blas	FLOOR 오리지널	VI 51	[1W]
0756	0410	My song	角巻わため	188		05	12	15	18					츠노마키 와타메 콜라보레이션	VI 96	
0759	0388	MΔX FLAVØR	EmoCosine overlay	261	125	06	14	16	18	blas	blas	blas	blas	FLOOR 오리지널	VI 92	[1W]
0765	0392	NEMSYS ARENA World Hexathlon	隣の庭は青い(庭師+Aoi)	190		08	15	18	20	sp	sp	sp	sp	FLOOR 오리지널	VI 93	
0772	0232	Never Ending Future	#EmoCosine	215		06	13	16	18				pcb	FLOOR 오리지널	VI 47	
0786	0121	NIN-NIN-NIN!!	よああああ（ああああ＋yoa）	170	90	05	12	14	17	pcb	pcb	pcb	pcb	MÚSECA 오리지널	VI 27	
0787	0398	NO SURRENDER	493Water	160		06	13	16	18	lim	lim	lim	lim	FLOOR 오리지널	VI 94	
0794	0054	nostos -ark remix-	Se-U-Ra + しーけー	205	180	05	12	15	18				pcb	FLOOR 리믹스	VI 05	
0795	0185	NOT YOUR IDOL	Yuta Imai	155		06	13	16	18				pcb	FLOOR 오리지널	VI 37	
0796	0033	Now loading...	つきみぐー、×如月結愛	128		02	10	14	16				pcb	FLOOR 오리지널	VI 02	
0802	0372	ON THE WORLD	Yuta Imai	255		06	13	16	18	blas	blas	blas	blas	FLOOR 오리지널	VI 88	[1W]
0805	0327	One More Lovely	Risk Junk	200		07	14	17	19	pcb	pcb	pcb	pcb	beatmania IIDX 오리지널	VI 77	
0807	0004	onslaught -Retaliation of Bahamūt-	かめりあ	238		07	14	17	19				pcb	FLOOR 리믹스	VI 01	
0813	0507	OROCHI STRIKE	Hommarju &  "兎々"	200	50	06	13	16	18	lim	lim	lim	lim		MYSTICAL Re:UNION	
0823	0355	OVEЯ+TUЯE	kanone VS nora2r	244		07	14	17	19	hexa	hexa	hexa	hexa	FLOOR 오리지널	VI 82	HEXA DIVER이전에 출시된 챕터들을 전부 해금해야 오픈됨. 난이도 무관.
0007	0443	PANIC HOLIC (かめりあ's "24600 POWER" Remix)	かめりあ	246		06	13	16	18				pcb	FLOOR 리믹스	VI 103	
0827	0249	Paradigm Shift	あまみ×ひなみ	220		06	13	16	18	blas	blas	blas	blas	FLOOR 오리지널	VI 55	[1W]
0834	0124	party:stage	かゆき	310		06	12	16	18				pcb	FLOOR 오리지널	VI 28	
0835	0486	perditus†paradisus	iconoclasm	172		07	14	17	19	pcb	pcb	pcb	pcb		이치카의 뒤범벅 Mix UP!	
0836	0129	Perfect Ultimate Celebration!!	2時間でPUCされたかぼちゃ	200		06	13	16	18	pcb	pcb	pcb	pcb	SDVX 오리지널	VI 29	
0838	0247	Petit espoir	しーけー	222		06	13	16	18	blas	blas	blas	blas	FLOOR 오리지널	VI 54	[1W]
0844	0186	PHOTON BLAXT	seatrus	165		06	12	15	18				pcb	FLOOR 오리지널	VI 37	
0850	0305	Pixelated Platform (Super Honey!)	そよもぎ	216		05	12	15	17				pcb	FLOOR 리믹스	VI 71	
0853	0126	PLANISPHERE	SOUND HOLIC feat. Nana Takahashi	161	122	04	11	14	17	pcb	pcb	pcb	pcb	SDVX 오리지널	VI 29	
0855	0332	Please Welcome Mr.C	C-Show	230		06	13	16	18	pcb	pcb	pcb	pcb	beatmania IIDX 오리지널	VI 77	
0860	0483	Poochie	kors k	110		06	13	16	18	lim	lim	lim	lim		리플렉 비트 악곡 스탬프 이벤트	
0863	0009	POSSESSION (Aoi Q.E.D. RMX)	Aoi	318	106	06	13	16	18				pcb	FLOOR 리믹스	VI 01	
0866	0310	Prayer	溝口ゆうま feat. 大瀬良あい	183		06	12	15	18	pcb	pcb	pcb	pcb	MÚSECA 오리지널	VI 72	
